Timestamp,"By ticking the box below , you agree to having read and understood the text above and provide your answers voluntarily for the purpose of this study",Which of the following money-generating pathway/s are you currently focusing on? (i.e. you are actively preparing yourself for it or already engaged in it) ,What is your gender?,What is your age?,Please select the region in which you have lived most of your life.,Please select the option that fits the country in which you've spent most of your life.,"Are you an IBA, GEM, or IEM major?",What is your major? ,Are you or have you been involved in IBCM and/or JSC?,"What is your GPA? (German scale, please base it off your overall study results, e.g. 1.33)","Do you have frequent exposure to personal finance content? 1 hour per week or more dedicated to books, articles, videos, podcasts, voluntary courses, etc.",Did one of your parents/guardians make money through employment?,Have you lived for more than one (1) year in Germany?,Did one of your parents/guardians make money through self-employment?,Did one of your parents/guardians make money through investments?,Did one of your parents/guardians make money through  large business ownership?,"How much do you value financial safety and certainty when making financial decisions? (e.g. a purchase, investment, job security, or planning for the future)",How perfectionist do you consider yourself to be?,How much of a leader do you consider yourself to be?,How much do you like teamwork?,"Has moving to Germany (if applicable) had an impact on how you manage your money, plan for your financial future, and/or altered your mindset when it comes to money? Why or why not?",Do you consistently spend time with people who are interested and continuously engaged in personal finance topics?
3/2/2023 14:14:54,I agree to participate in this questionnaire,Business owner,Female,22,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,3.5,Yes,No,Yes,Yes,Yes,Yes,0,2,4,4,,5
3/9/2023 14:45:14,I agree to participate in this questionnaire,Business owner,Female,23,Africa,"Lower-middle income, Low income",Yes,IBA,Yes,4,Yes,Yes,Yes,No,No,No,0,0,5,5,,5
3/9/2023 14:39:48,I agree to participate in this questionnaire,Business owner,Male,23,North America,"High income, Upper-middle income",Yes,IBA,Yes,4,Yes,No,Yes,No,Yes,Yes,0,1,5,4,,5
3/7/2023 5:13:51,I agree to participate in this questionnaire,Employee,Female,21,Africa,"Lower-middle income, Low income",No,CBT,No,1,No,Yes,No,No,No,No,5,5,1,1,,1
2/17/2023 8:09:20,I agree to participate in this questionnaire,Employee,Male,21,Eastern Europe,"Lower-middle income, Low income",No,Aerospace Engineering Sergei Belussov,No,1.12,No,No,No,No,No,No,3,3,3,3,No. I am Ukrain.,0
3/9/2023 4:49:38,I agree to participate in this questionnaire,Employee,Female,19,Western Europe,"High income, Upper-middle income",No,IRPH,No,1.12,No,No,Yes,Yes,Yes,No,3,4,4,1,,2
2/7/2023 4:25:35,I agree to participate in this questionnaire,Employee,Male,22,East Asia,"High income, Upper-middle income",No,IRPH,No,1.19,Yes,Yes,Yes,Yes,Yes,No,4,5,5,3,,1
3/9/2023 4:16:59,I agree to participate in this questionnaire,Employee,Female,21,North America,"High income, Upper-middle income",Yes,IEM,Yes,1.2,Yes,Yes,Yes,Yes,No,No,3,5,4,4,,3
1/21/2023 10:18:08,I agree to participate in this questionnaire,Employee,Female,20,Eastern Europe,"Lower-middle income, Low income",Yes,IEM,No,1.3,Yes,Yes,Yes,No,Yes,No,5,5,5,5,"It has, i am more self aware, more cautious,very different from back home since its my own money that I am earning and since my parents are senfing me the money I am more careful about it.",3
2/8/2023 3:52:22,I agree to participate in this questionnaire,Employee,Female,23,Western Europe,"High income, Upper-middle income",Yes,GEM,No,1.3,Yes,Yes,Yes,No,Yes,No,4,4,3,3,,4
2/8/2023 5:10:25,I agree to participate in this questionnaire,Employee,Female,21,Eastern Europe,"Lower-middle income, Low income",Yes,GEM,Yes,1.33,Yes,Yes,Yes,No,No,No,5,3,5,3,,2
2/8/2023 5:26:42,I agree to participate in this questionnaire,Employee,Female,20,Latin America and the Caribbean,"High income, Upper-middle income",Yes,GEM,Yes,1.33,No,No,Yes,Yes,No,Yes,5,5,2,2,"After moving to Germany, I have become more financially independent and therefore more financially conscious ",2
3/2/2023 14:08:32,I agree to participate in this questionnaire,Employee,Female,21,Africa,"Lower-middle income, Low income",No,Mathematics,No,1.33,No,Yes,Yes,No,No,No,5,5,0,0,,0
3/9/2023 4:21:36,I agree to participate in this questionnaire,Employee,Male,18,Eastern Europe,"High income, Upper-middle income",No,CS,No,1.33,No,Yes,No,No,No,No,4,5,3,5,,3
2/17/2023 8:01:27,I agree to participate in this questionnaire,Employee,Female,18,Eastern Europe,"Lower-middle income, Low income",Yes,GEM,Yes,1.35,Yes,No,Yes,Yes,Yes,No,4,3,3,4,"Yes, I stated to think more about investment and financial stability.",3
2/8/2023 4:18:50,I agree to participate in this questionnaire,Employee,Male,20,Eastern Europe,"Lower-middle income, Low income",Yes,GEM,Yes,1.4,Yes,Yes,Yes,Yes,Yes,No,5,5,5,5,,5
1/24/2023 8:58:41,I agree to participate in this questionnaire,Employee,Female,21,Western Europe,"High income, Upper-middle income",No,BCCB,No,1.42,No,Yes,Yes,No,No,No,3,3,3,2,,1
3/2/2023 16:25:15,I agree to participate in this questionnaire,Employee,Male,19,Eastern Europe,"Lower-middle income, Low income",No,CS,No,1.48,No,Yes,Yes,No,No,No,3,4,2,4,No,0
2/8/2023 4:19:17,I agree to participate in this questionnaire,Employee,Female,20,Latin America and the Caribbean,"High income, Upper-middle income",No,ISCP,No,1.5,No,Yes,Yes,Yes,Yes,No,4,4,4,3,,2
3/2/2023 14:12:21,I agree to participate in this questionnaire,Employee,Male,19,Eastern Europe,"Lower-middle income, Low income",No,Physics,No,1.5,No,Yes,No,No,No,No,5,4,1,0,,1
2/17/2023 10:39:08,I agree to participate in this questionnaire,Employee,Female,19,Africa,"Lower-middle income, Low income",No,CBT,No,1.53,No,Yes,No,Yes,Yes,No,4,2,2,2,Yes it has. Since comming to germany I have become more responsible with my money and try to save as much as I can because now I am on my own I feel resposible for my expences,2
1/23/2023 10:27:27,I agree to participate in this questionnaire,Employee,Male,21,North America,"High income, Upper-middle income",Yes,IEM,Yes,1.6,Yes,Yes,Yes,Yes,No,No,5,3,5,5,"Germany values security over everything, especially when it comes to finances. Rather than blindly adopt this approach, I try to learn from it while maintaining my own “best practices”.",3
3/9/2023 9:36:45,I agree to participate in this questionnaire,Employee,Female,23,North America,"High income, Upper-middle income",No,EES,No,1.6,No,Yes,Yes,Yes,Yes,No,3,3,3,1,"Yes, but it wasn't specific to Germany, but rather happened while I had been living here.",3
2/8/2023 4:22:14,I agree to participate in this questionnaire,Employee,Female,19,Latin America and the Caribbean,"High income, Upper-middle income",No,IRPH,No,1.67,Yes,Yes,Yes,Yes,No,Yes,5,4,4,5,"Yes,  currently I make monthly plans on my finances. I am now more aware of expenses and try to make monthly savings",3
2/17/2023 8:31:54,I agree to participate in this questionnaire,Employee,Male,18,Western Europe,"Lower-middle income, Low income",No,CS,No,1.68,Yes,Yes,No,Yes,No,No,5,4,5,5,Living here is so much more expensive than in my home country so it has pushed me to save more and dont spend recklessly ,5
3/9/2023 4:13:25,I agree to participate in this questionnaire,Employee,Male,21,North America,"High income, Upper-middle income",Yes,IEM,Yes,1.7,Yes,Yes,Yes,Yes,No,No,4,2,4,5,"Germans value financial safety more than those back home, I am trying to also implement these values into my life. ",4
3/9/2023 4:18:32,I agree to participate in this questionnaire,Employee,Male,22,North America,"High income, Upper-middle income",Yes,IEM,Yes,1.7,Yes,Yes,Yes,Yes,No,No,4,5,4,5,,4
1/24/2023 8:53:00,I agree to participate in this questionnaire,Employee,Male,21,Western Europe,"High income, Upper-middle income",No,IRPH,No,1.87,No,Yes,Yes,No,No,No,2,3,5,4,no,1
3/9/2023 4:24:05,I agree to participate in this questionnaire,Employee,Female,19,Western Europe,"High income, Upper-middle income",No,Physics,No,1.9,No,Yes,Yes,Yes,No,No,4,3,4,1,,1
1/21/2023 10:09:46,I agree to participate in this questionnaire,Employee,Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,No,2,No,No,Yes,Yes,Yes,No,4,5,4,5,Since I maintain myself managing the money I get from my job is a big impact. I consider all the possible situations a could be in the future. ,5
2/8/2023 4:34:53,I agree to participate in this questionnaire,Employee,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IBA,Yes,2,Yes,No,Yes,Yes,No,Yes,5,4,5,4,I believe it provided a better perspective when it comes to seeking financial stability,1
2/17/2023 7:57:26,I agree to participate in this questionnaire,Employee,Male,20,Eastern Europe,"Lower-middle income, Low income",No,CS,No,2,Yes,Yes,Yes,No,No,No,2,4,4,5,Yea,4
3/9/2023 4:15:31,I agree to participate in this questionnaire,Employee,Female,20,North America,"High income, Upper-middle income",Yes,IEM,Yes,2,Yes,Yes,Yes,Yes,No,No,5,5,3,3,No,3
1/24/2023 8:37:25,I agree to participate in this questionnaire,Employee,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,No,2.1,No,Yes,Yes,No,No,No,5,3,3,3,"Yes. It made me understand the importance of money, and responsibility of said money. ",4
2/1/2023 11:17:44,I agree to participate in this questionnaire,Employee,Female,24,Africa,"High income, Upper-middle income",No,EES,Yes,2.1,No,Yes,Yes,No,Yes,No,4,5,3,4,"Yes, moving to impacted how I manage my money. I try to save money and think about what I buy before spend any money. I often do price comparisons when shopping.",2
3/9/2023 8:09:37,I agree to participate in this questionnaire,Employee,Male,18,Eastern Europe,"Lower-middle income, Low income",Yes,IEM,No,2.33,No,Yes,No,Yes,Yes,No,4,3,3,3,,0
2/20/2023 6:30:34,I agree to participate in this questionnaire,Employee,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,No,2.49,No,Yes,Yes,Yes,No,No,3,0,3,0,"Yes, on one hand I spend more money than before, but at the same time I'm more careful where I spend my money",2
3/9/2023 4:32:00,I agree to participate in this questionnaire,Employee,Female,20,Middle East and North Africa,"High income, Upper-middle income",No,ISCP,No,2.7,No,Yes,Yes,No,No,No,3,2,2,1,,0
3/9/2023 12:49:56,I agree to participate in this questionnaire,Employee,Female,19,Middle East and North Africa,"High income, Upper-middle income",No,CS,No,2.94,No,Yes,No,Yes,No,No,3,1,3,2,"Moving to Germany has improved my money management as I had to be more careful with my own spending tendencies as well as learning how banking and credit/debit cards work. However, suddenly having this much financial freedom also increased my tendency to make unnecessary purchases impulsively. Although, I worry a lot more about being financially secure now. My overall mindset on money has not changed; I still aim to find ways to make money and still more-or-less value its worth the same as I did while I still lived with my parents. Regarding financial future planning, I've started worrying a lot more about job seeking as I have the ability to legally work now, and thrilled to feel the satisfaction of indepdence from receiving my first paycheck.",0
3/3/2023 2:53:46,I agree to participate in this questionnaire,Employee,Female,20,North America,"High income, Upper-middle income",No,EES,No,3,No,Yes,Yes,No,Yes,No,4,3,4,1,"Germany has taught me that living doesn't have to be expensive to be decent. I don't have to kill myself working to have warm food, clothes, a roof and a friend. It's a very exhausting and toxic work culture in the US",2
2/17/2023 8:00:07,I agree to participate in this questionnaire,Employee,Male,19,Eastern Europe,"Lower-middle income, Low income",No,ECE,No,3.29,No,Yes,Yes,No,No,No,4,4,3,3,Things in Germany are more expensive.,1
1/22/2023 0:42:02,I agree to participate in this questionnaire,Employee,Male,20,Western Europe,"High income, Upper-middle income",Yes,IBA,No,3.4,Yes,Yes,Yes,No,Yes,No,3,2,2,3,,2
2/17/2023 17:28:56,I agree to participate in this questionnaire,Employee,Female,18,Eastern Europe,"High income, Upper-middle income",No,BCCB,No,3.77,Yes,Yes,No,No,No,No,5,4,3,5,I spend money much more efficiently and I have registered for finance and accounting class as a minor to help me with my financial future and know how to make my financial decisions in the future. ,2
2/8/2023 5:01:30,I agree to participate in this questionnaire,"Employee, Investor",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,Physics,No,1.26,No,Yes,Yes,Yes,No,No,4,5,4,4,"Moving to Germany has made me more aware of  where I spend my money, probably because I have become way more financially independent since I moved to Germany.",2
2/8/2023 4:39:38,I agree to participate in this questionnaire,"Employee, Investor",Male,18,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IEM,Yes,1.33,Yes,Yes,No,Yes,Yes,Yes,4,4,3,2,Yes,3
3/9/2023 6:04:33,I agree to participate in this questionnaire,"Employee, Investor",Male,20,Africa,"High income, Upper-middle income",Yes,IEM,No,1.6,Yes,Yes,Yes,No,Yes,No,4,3,4,2,,5
2/20/2023 4:52:32,I agree to participate in this questionnaire,"Employee, Investor",Male,22,Africa,"Lower-middle income, Low income",Yes,IEM,Yes,1.62,Yes,No,Yes,Yes,Yes,No,4,3,4,4,Yes. I have to budget for myself.,4
1/24/2023 9:49:38,I agree to participate in this questionnaire,"Employee, Investor",Male,28,Western Europe,"High income, Upper-middle income",Yes,IBA,Yes,2,Yes,Yes,Yes,Yes,Yes,No,3,1,4,4,I did not move to Germany.,5
1/24/2023 8:44:09,I agree to participate in this questionnaire,"Employee, Investor, Business owner",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,1.5,Yes,Yes,Yes,No,No,No,4,4,4,3,"Yes, I have a better perspective about money, and have learned that a job is not a safe place. It has then altered my brain, and I am now learning about personal finance.",4
2/6/2023 6:50:51,I agree to participate in this questionnaire,"Employee, Investor, Business owner",Male,20,North America,"High income, Upper-middle income",No,CBT,Yes,2,Yes,Yes,Yes,No,Yes,No,4,5,5,2,-,3
2/8/2023 5:56:57,I agree to participate in this questionnaire,"Employee, Investor, Business owner",Male,22,Africa,"Lower-middle income, Low income",No,CS,Yes,2.35,Yes,Yes,Yes,Yes,Yes,No,3,5,0,0,,3
3/2/2023 14:34:13,I agree to participate in this questionnaire,"Employee, Self-employed",Female,21,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,,4
2/17/2023 7:58:50,I agree to participate in this questionnaire,"Employee, Self-employed",Female,19,Eastern Europe,"Lower-middle income, Low income",No,CS,No,1.33,Yes,Yes,No,Yes,Yes,Yes,5,5,5,1,YES!,2
2/17/2023 8:02:38,I agree to participate in this questionnaire,"Employee, Self-employed",Male,18,Eastern Europe,"Lower-middle income, Low income",No,ECE,No,2.5,No,Yes,No,No,No,No,3,3,1,3,"Yes. Coming here has made me value money more, as everything is more expensive here. It also made me more seriously consider self employment as opposed to wage labour and employment for my future.",2
2/6/2023 4:38:02,I agree to participate in this questionnaire,"Employee, Self-employed",Male,22,Southeast Asia,"High income, Upper-middle income",No,ECE,No,1,No,No,Yes,Yes,No,Yes,4,4,4,3,,1
2/9/2023 5:25:42,I agree to participate in this questionnaire,"Employee, Self-employed",Male,20,North America,"High income, Upper-middle income",No,EES,No,1,No,Yes,Yes,No,Yes,No,4,3,4,1,"it has impacted my way of managing and seeking out money/employment. here it seems much more relaxed and up to the individual, and everyone can basically live how they want since income and regional taxes dont vary as much in DE as they do in the US.",1
2/8/2023 7:42:45,I agree to participate in this questionnaire,"Employee, Self-employed, Investor",Male,22,Western Europe,"High income, Upper-middle income",No,IRPH,Yes,1,Yes,Yes,Yes,No,Yes,No,5,4,4,5,Lived in Germany most of my life.,5
1/24/2023 9:13:08,I agree to participate in this questionnaire,"Employee, Self-employed, Investor, Business owner",Male,19,Eastern Europe,"High income, Upper-middle income",No,CS,No,3,No,Yes,No,Yes,No,No,4,4,2,2,,4
1/19/2023 20:13:20,I agree to participate in this questionnaire,Employment,Male,21,South Asia,"Lower-middle income, Low income",Yes,IEM,No,1.67,No,Yes,Yes,No,No,No,5,4,1,1,,1
1/20/2023 1:24:29,I agree to participate in this questionnaire,Employment,Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,No,2,No,Yes,Yes,No,Yes,No,5,5,1,1,,2
1/20/2023 4:37:22,I agree to participate in this questionnaire,Employment,Female,20,Middle East and North Africa,"Lower-middle income, Low income",No,IRPH,No,2,Yes,Yes,Yes,No,No,No,4,4,1,1,,1
1/20/2023 5:12:25,I agree to participate in this questionnaire,Employment,Male,20,Western Europe,"High income, Upper-middle income",Yes,IBA,No,3.44,No,Yes,Yes,No,Yes,No,5,5,1,2,,2
1/19/2023 18:33:41,I agree to participate in this questionnaire,Investor,Female,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,ISCP,No,1.08,No,Yes,Yes,Yes,Yes,No,1,2,3,3,,5
3/2/2023 14:07:30,I agree to participate in this questionnaire,Investor,Female,21,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,2.33,Yes,No,Yes,No,Yes,Yes,1,2,5,4,,5
2/16/2023 5:02:30,I agree to participate in this questionnaire,Investor,Male,20,Western Europe,"High income, Upper-middle income",Yes,IEM,No,2.5,Yes,No,Yes,No,Yes,Yes,4,3,4,4,"Nope, lived in Germany my entire life, when it comes to money my parents have educated me on how to manage it",5
2/10/2023 8:03:55,I agree to participate in this questionnaire,Investor,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IBA,Yes,3,Yes,Yes,Yes,Yes,Yes,No,5,4,5,4,"Living alone has changed the way I manage my money, so yes!",4
3/2/2023 14:21:15,I agree to participate in this questionnaire,Investor,Female,21,Africa,"Lower-middle income, Low income",Yes,IBA,Yes,3,Yes,Yes,Yes,No,No,No,1,1,4,4,,5
3/3/2023 6:08:50,I agree to participate in this questionnaire,Investor,Female,22,North America,"High income, Upper-middle income",Yes,IBA,Yes,3,Yes,No,Yes,Yes,Yes,No,1,1,4,4,,5
3/9/2023 14:38:47,I agree to participate in this questionnaire,Investor,Male,21,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,3,Yes,No,Yes,No,Yes,No,0,0,5,5,,5
3/10/2023 5:29:31,I agree to participate in this questionnaire,Investor,Male,23,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,3.12,Yes,Yes,Yes,No,Yes,No,2,4,5,4,,4
3/9/2023 14:47:34,I agree to participate in this questionnaire,Investor,Female,22,Western Europe,"High income, Upper-middle income",Yes,IBA,Yes,3.33,Yes,No,Yes,Yes,Yes,No,1,2,4,4,,4
3/2/2023 14:16:53,I agree to participate in this questionnaire,Investor,Male,22,North America,"High income, Upper-middle income",No,CS,Yes,4,Yes,No,Yes,No,Yes,No,1,1,3,4,,5
3/7/2023 5:18:23,I agree to participate in this questionnaire,Investor,Female,23,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IBA,Yes,4,Yes,Yes,Yes,Yes,No,No,1,1,4,4,,5
3/9/2023 14:59:18,I agree to participate in this questionnaire,Investor,Female,23,Western Europe,"High income, Upper-middle income",Yes,IBA,Yes,4,Yes,No,No,No,Yes,Yes,1,1,4,4,,5
3/10/2023 5:23:04,I agree to participate in this questionnaire,Investor,Female,21,Africa,"Lower-middle income, Low income",Yes,IBA,Yes,4,Yes,Yes,Yes,No,No,No,1,3,4,3,,4
3/7/2023 4:09:16,I agree to participate in this questionnaire,Investor,Female,22,Middle East and North Africa,"Lower-middle income, Low income",Yes,GEM,Yes,3,Yes,Yes,Yes,No,No,No,1,1,3,4,,5
1/19/2023 16:53:10,Agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.42,Yes,Yes,Yes,No,No,No,1,3,5,4,,4
1/19/2023 17:03:12,Agree to participate in this questionnaire,"Investor, Business owner",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,1.5,Yes,Yes,Yes,No,No,No,1,2,4,5,,5
1/24/2023 8:18:03,I agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.5,Yes,Yes,Yes,No,No,No,2,2,5,4,,3
2/20/2023 4:58:43,I agree to participate in this questionnaire,"Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IEM,Yes,2,Yes,No,Yes,Yes,Yes,Yes,4,4,4,4,"Monthly deposits by my parents have held me responsible for buying groceries and leisure activities. From this money I have also learned to save part of it to make a monthly deposit into the stock market, the more I can save by the end of the month the more I invest in the stock market. This has taught me the value of money, how to save money and how to invest minimising risk.",4
1/24/2023 8:42:56,I agree to participate in this questionnaire,"Investor, Business owner",Male,19,Southeast Asia,"High income, Upper-middle income",No,Robotics,No,2.43,Yes,No,Yes,Yes,Yes,No,3,2,3,4,"A lot. Too many reasons, to start with made me more ambitious for money.",3
3/2/2023 15:25:06,I agree to participate in this questionnaire,"Investor, Business owner",Male,22,Africa,"Lower-middle income, Low income",Yes,GEM,No,3.68,No,Yes,No,No,No,No,4,4,3,4,"Yes, it made me value money more due as cost of living is significantly high compared to my country ",2
2/8/2023 4:03:57,I agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,4,3,3,4,"Yes, living alone has given me a better understanding of my financial situation",2
2/17/2023 8:07:22,I agree to participate in this questionnaire,"Investor, Business owner",Male,23,Eastern Europe,"Lower-middle income, Low income",No,Physics,No,4,Yes,Yes,Yes,Yes,No,No,4,4,5,4,"Yes a little bit, because being new here and not knowing the culture and people make you feel a little bit reserved to everything",3
1/25/2023 0:23:28,I agree to participate in this questionnaire,Self-employed,Female,18,Middle East and North Africa,"High income, Upper-middle income",No,CS,No,1.67,No,Yes,No,No,No,No,4,5,3,3,"Moving to Germany made me realize that I can only rely on myself in all aspects (of course, with God’s guidance). It altered my mindset, knowing that I am the one who can take hold of my future and have the responsibility of all the financing actions in order to reach it.",1
2/16/2023 2:37:46,I agree to participate in this questionnaire,Self-employed,Male,21,Western Europe,"High income, Upper-middle income",Yes,IEM,No,1.91,No,Yes,Yes,No,No,No,5,5,4,2,,2
3/2/2023 14:35:28,I agree to participate in this questionnaire,Self-employed,Male,20,Eastern Europe,"Lower-middle income, Low income",No,EES,No,2,No,Yes,Yes,No,No,No,4,4,3,0,,0
2/7/2023 6:05:26,I agree to participate in this questionnaire,Self-employed,Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,2.3,Yes,Yes,Yes,Yes,Yes,Yes,5,4,3,4,"Yes, I prioritize different things now and have learned to save more",4
2/17/2023 7:59:05,I agree to participate in this questionnaire,Self-employed,Female,18,Eastern Europe,"Lower-middle income, Low income",No,CBT,No,2.33,Yes,Yes,No,Yes,Yes,No,2,4,4,5,Yes I have learned how to manage my own money and save more,2
1/24/2023 12:44:18,I agree to participate in this questionnaire,Self-employed,Female,18,South Asia,"High income, Upper-middle income",No,CS,No,3,No,Yes,No,No,No,No,5,4,3,4,,1
3/2/2023 14:09:45,I agree to participate in this questionnaire,Self-employed,Female,22,Middle East and North Africa,"Lower-middle income, Low income",No,MCCB,No,1,No,Yes,Yes,Yes,No,No,5,5,0,0,,0
3/9/2023 14:37:31,I agree to participate in this questionnaire,Self-employed,Female,22,Africa,"Lower-middle income, Low income",No,IRPH,No,1,No,Yes,No,No,No,No,5,5,5,0,,0
3/10/2023 5:24:38,I agree to participate in this questionnaire,Self-employed,Female,19,Latin America and the Caribbean,"Lower-middle income, Low income",No,SMP,No,1,No,Yes,No,Yes,No,No,5,1,0,1,,1
1/20/2023 16:17:35,I agree to participate in this questionnaire,Self-employed,Female,22,Middle East and North Africa,"High income, Upper-middle income",Yes,GEM,Yes,1.1,Yes,Yes,Yes,Yes,Yes,No,3,4,5,4,No. I always cared for managing my money and my expenses to better benefit from it in thr future,3
3/9/2023 14:54:52,I agree to participate in this questionnaire,Self-employed,Male,20,Southeast Asia,"Lower-middle income, Low income",No,Mathematics,No,1.2,No,Yes,Yes,Yes,No,No,5,5,1,0,,1
3/9/2023 14:41:25,I agree to participate in this questionnaire,Self-employed,Female,20,Middle East and North Africa,"Lower-middle income, Low income",No,ISCP,No,1.25,No,Yes,No,Yes,No,No,5,5,1,1,,1
3/2/2023 14:13:39,I agree to participate in this questionnaire,Self-employed,Female,21,Western Europe,"High income, Upper-middle income",No,IRPH,No,1.33,No,Yes,No,Yes,No,No,5,5,1,5,,1
